FLUKE 289,  V1.41,  0

Start Time,Stop Time,Elapsed Time,Interval,Total readings,Intervals,Input Events,Session Name
14/01/2026 17:00:51,14/01/2026 17:20:50,0:19:59,0:00:10,330,121,219,Save 1
Max Time,Max,Average,Min,Min Time,Scaling,
14/01/2026 17:01:02,0.4076 A DC,0.3383 A DC,0.2022 A DC,14/01/2026 17:00:53,(none)

To display full timestamps use Format Cells ‘m/d/y hh:mm:ss.0'

Reading,Sample,Start Time,Duration,Max Time,Max,Average,Min Time,Min,Description,Stop Time
95,0.3468 A DC,14/01/2026 17:05:27.1,0:00:03.3,14/01/2026 17:05:29.2,0.3513 A DC,0.3408 A DC,14/01/2026 17:05:29.9,0.3299 A DC,Interval,14/01/2026 17:05:30.4
96,0.3347 A DC,14/01/2026 17:05:30.4,0:00:01.9,14/01/2026 17:05:32.2,0.3477 A DC,0.3394 A DC,14/01/2026 17:05:30.5,0.3322 A DC,Stable,14/01/2026 17:05:32.3
97,0.3560 A DC,14/01/2026 17:05:32.3,0:00:02.5,14/01/2026 17:05:32.3,0.3560 A DC,0.3408 A DC,14/01/2026 17:05:34.7,0.3343 A DC,Stable,14/01/2026 17:05:34.8
98,0.3335 A DC,14/01/2026 17:05:34.8,0:00:02.4,14/01/2026 17:05:36.9,0.3445 A DC,0.3378 A DC,14/01/2026 17:05:34.9,0.3298 A DC,Stable,14/01/2026 17:05:37.2
99,0.3519 A DC,14/01/2026 17:05:37.2,0:00:03.2,14/01/2026 17:05:40.3,0.3527 A DC,0.3422 A DC,14/01/2026 17:05:37.4,0.3332 A DC,Interval,14/01/2026 17:05:40.5
100,0.3354 A DC,14/01/2026 17:05:40.5,0:00:10.0,14/01/2026 17:05:43.0,0.3546 A DC,0.3388 A DC,14/01/2026 17:05:50.1,0.3291 A DC,Interval,14/01/2026 17:05:50.4
101,0.3348 A DC,14/01/2026 17:05:50.4,0:00:10.1,14/01/2026 17:05:52.2,0.3531 A DC,0.3393 A DC,14/01/2026 17:05:59.6,0.3311 A DC,Interval,14/01/2026 17:06:00.5
102,0.3326 A DC,14/01/2026 17:06:00.5,0:00:03.8,14/01/2026 17:06:01.0,0.3474 A DC,0.3387 A DC,14/01/2026 17:06:00.6,0.3324 A DC,Stable,14/01/2026 17:06:04.3
103,0.3638 A DC,14/01/2026 17:06:04.3,0:00:00.5,14/01/2026 17:06:04.3,0.3638 A DC,0.3483 A DC,14/01/2026 17:06:04.7,0.3427 A DC,Unstable,14/01/2026 17:06:04.8
104,0.3331 A DC,14/01/2026 17:06:04.8,0:00:04.4,14/01/2026 17:06:06.0,0.3474 A DC,0.3391 A DC,14/01/2026 17:06:04.9,0.3321 A DC,Stable,14/01/2026 17:06:09.2
105,0.3512 A DC,14/01/2026 17:06:09.2,0:00:01.2,14/01/2026 17:06:10.2,0.3516 A DC,0.3419 A DC,14/01/2026 17:06:10.3,0.3340 A DC,Interval,14/01/2026 17:06:10.4
106,0.3314 A DC,14/01/2026 17:06:10.4,0:00:02.8,14/01/2026 17:06:13.1,0.3455 A DC,0.3366 A DC,14/01/2026 17:06:10.4,0.3314 A DC,Stable,14/01/2026 17:06:13.3
107,0.3522 A DC,14/01/2026 17:06:13.3,0:00:02.2,14/01/2026 17:06:13.8,0.3551 A DC,0.3439 A DC,14/01/2026 17:06:15.0,0.3346 A DC,Stable,14/01/2026 17:06:15.5
108,0.3295 A DC,14/01/2026 17:06:15.5,0:00:01.6,14/01/2026 17:06:16.3,0.3468 A DC,0.3344 A DC,14/01/2026 17:06:15.5,0.3295 A DC,Stable,14/01/2026 17:06:17.1
109,0.3505 A DC,14/01/2026 17:06:17.1,0:00:03.3,14/01/2026 17:06:17.1,0.3505 A DC,0.3407 A DC,14/01/2026 17:06:18.1,0.3324 A DC,Interval,14/01/2026 17:06:20.4
110,0.3354 A DC,14/01/2026 17:06:20.4,0:00:01.8,14/01/2026 17:06:21.6,0.3493 A DC,0.3391 A DC,14/01/2026 17:06:21.1,0.3336 A DC,Stable,14/01/2026 17:06:22.2
111,0.3798 A DC,14/01/2026 17:06:22.2,0:00:00.1,14/01/2026 17:06:22.2,0.3798 A DC,0.3798 A DC,14/01/2026 17:06:22.2,0.3798 A DC,Unstable,14/01/2026 17:06:22.3
112,0.3419 A DC,14/01/2026 17:06:22.3,0:00:01.0,14/01/2026 17:06:23.2,0.3516 A DC,0.3405 A DC,14/01/2026 17:06:22.4,0.3324 A DC,Stable,14/01/2026 17:06:23.3
